,Tweets,Subjectivity,Polarity,Analysis
0,"₹13450 crores for Central Vista. 

Or, for fully vaccinating 45 crore Indians.

Or, for 1 crore oxygen cylinders.

Or, to give 2 crore families NYAY of ₹6000.

But, PM’s ego is bigger than people’s lives.",0.375,0.0,Neutral
1,"I just want to make it clear that a lockdown is now the only option because of a complete lack of strategy by GOI. 

They allowed, rather, they actively helped the virus reach this stage where there’s no other way to stop it. 

A crime has been committed against India.",0.5516666666666666,0.025833333333333337,Positive
2,"GOI doesn’t get it. 

The only way to stop the spread of Corona now is a full lockdown- with the protection of NYAY for the vulnerable sections. 

GOI’s inaction is killing many innocent people.",0.65,0.16999999999999998,Positive
3,"Died or Killed?

My heartfelt condolences to their families. 

How much more suffering before the ‘system’ wakes up? https://t.co/JrfZbIo7zm",0.5,0.09999999999999999,Positive
4,"A policy paralysed GOI cannot secure victory over the virus. 

Face it. Don’t fake it. https://t.co/JuWTDwOezn",0.8,-0.04999999999999999,Negative
5,I’m happy to congratulate Mamata ji and the people of West Bengal for soundly defeating the BJP.,0.7,0.6000000000000001,Positive
6,"We humbly accept the people’s mandate. 
Sincere gratitude to our workers &amp; the millions of people who supported us on the ground. 

We will continue to fight for our values and ideals. 

Jai Hind.",0.45,0.15,Positive
7,"Congratulations to Shri MK Stalin for the victory. 

People of Tamil Nadu have voted for change and we will, under your leadership, prove to be a confident step in that direction.

Best wishes.",0.5666666666666667,0.75,Positive
8,"जो 24 घंटे तुम्हें दिखाते हैं, उनकी हालत एक बार तो देखो! https://t.co/EkJfCHPgra",0.0,0.0,Neutral
9,My interview with PTI about the Covid crisis in India and GOI’s incompetence. https://t.co/zby7XJbNDb,0.0,0.0,Neutral
10,"Shortage crisis of vaccine, oxygen &amp; medical supply is real...

...unlike PM’s image. https://t.co/fCSDl08oMx",0.15000000000000002,0.1,Positive
